train_log,validation_log
0.30126077037746624,0.31658486984482964
0.30129112631587657,0.3176409850767509
0.3010352183196504,0.31627538096365615
0.30083688638978084,0.31873147092272885
0.30043508238711597,0.3177235473939522
0.300354456497451,0.3124212140413984
0.30008015390169823,0.31400684375858784
0.30011697542869437,0.3161854192839196
0.29979560334803695,0.31504785355611065
0.29960612927452995,0.3122600766282585
0.29945370302361957,0.3138560577852642
0.29925446591134797,0.31364659448364873
0.29916928178173,0.31363235166923487
0.2991634950799457,0.31468689501585073
0.2988038143869174,0.31278784670422427
0.2984911061949649,0.3130817892563403
0.29851473792124605,0.31653042893912925
0.2983729475635593,0.31378741240381597
0.2982470948817366,0.3121329647811813
0.2981364040051476,0.3111789262474482
0.29783342652401684,0.31096961630049663
0.2976441464181674,0.31265636424922466
0.2977124230336335,0.31130021061729546
0.29744497396178166,0.31537388557165713
0.29744927357819123,0.31281824926635127
0.29731934757555945,0.3136682749992639
0.2969993009405621,0.3124647092579597
0.2969687187065512,0.30974996748881123
0.296876357773603,0.31122176970668775
0.2967591366525424,0.31324417267612475
0.29665985753980734,0.3119954631556219
0.2964321718377582,0.3125699488960918
0.296463691582114,0.3133731439485023
0.29626384023892677,0.3135583197052155
0.2960482451875331,0.3106525171941249
0.29599897740250924,0.3118687730338705
0.29583804890260856,0.3125371693366736
0.29589779094114144,0.31110936073801626
0.29565099942482126,0.3101786896212017
0.29556125705525027,0.31139760999823335
0.2954569671113612,0.3087971557923897
0.29539088879601433,0.30986166719216196
0.29537178298174327,0.31001904741603525
0.2950454000699318,0.31162888800079497
0.29516485181905455,0.31145329691057827
0.295063536045915,0.3137154123890939
0.2948982756016618,0.30952185242619346
0.2947098036943856,0.3081595070997075
0.2946045439122087,0.3094185297213607
0.2946445335776119,0.31013362251933496
0.29444157875190347,0.3095439738364675
0.2943434957730568,0.3101321656500275
0.2943398103875629,0.30944003771297895
0.29415250228623213,0.311470702664936
0.2941471358477059,0.31099760352666656
0.29393904087907174,0.31035268965678
0.2940293651516155,0.3119997762555453
0.2939081353656316,0.3094525361180904
0.29380937349998343,0.3097455968808888
0.2937242216983084,0.3082643250125137
0.29347827070850435,0.3107891370303667
0.29362727019746426,0.30981244034503574
0.2933621487375033,0.3110571051362771
0.29333922822596664,0.30893651684324946
0.29317283630371094,0.30997415283816543
0.2932096255027642,0.3104336800886758
0.29317577814651746,0.3105504980039357
0.29305302894721597,0.3108252328843927
0.29282935191009,0.3070750595936224
0.29293302762306345,0.3082722036083739
0.292730072797355,0.3079044591242345
0.2927876488637116,0.3058568293125785
0.29257722628318655,0.30686914261861065
0.292664026809951,0.3088001462083366
0.29260257139044293,0.3087385168027638
0.29233508999064817,0.30828153907354156
0.2922681711487851,0.3086487659856902
0.29227803117137846,0.3093797309913827
0.2922571796481892,0.3097772454496604
0.29221130629717296,0.30881904717066777
0.29206835213354077,0.30792414602921836
0.2919202901549258,0.30606010091963726
0.2919460555254403,0.3077381843298524
0.2919686527575477,0.3097683700484846
0.29175435082387113,0.3086517564016371
0.2917415812864142,0.3077977817861279
0.29159539432848913,0.3094470728581874
0.2915627107781879,0.3067373726236161
0.29146598557294423,0.307997181187922
0.29135885077007745,0.3077858392916732
0.29138212688898635,0.3075198264577281
0.2914125798112255,0.30942428052125864
0.2912842378777973,0.30615765365523906
0.2911938166214248,0.30607812009265073
0.2911823725296279,0.305550235000687
0.29120345034841766,0.3081884144538611
0.2910982875500695,0.30816002467169834
0.2909658076399464,0.3074859542463293
0.2909124988620564,0.3059467526536491
0.29088369466490666,0.30703114265173526
0.29102128239001257,0.3078110086258931
0.2907369258040089,0.30727854206334404
0.29062361636404266,0.3092778459865244
0.29062920909816936,0.3054662158141783
0.2907557083388506,0.3085423761875785
0.29042660987983315,0.30824264449689853
0.29054903579970537,0.30794435050619307
0.29049084550243315,0.3089546126935949
0.2904263189283468,0.30640166009490816
0.2904012971005197,0.30847783304339077
0.29027689917612887,0.3053996407206933
0.29025627394854014,0.3063324779721361
0.2901627815375894,0.30593446511120054
0.2901215957382978,0.30782772428426314
0.29006143343650687,0.3057970018243071
0.2900168855311507,0.30649227353196645
0.2901780403266519,0.30752385201765664
0.28988288620770986,0.3063766824540181
0.28987228264242915,0.3073364909569822
0.2898990825071173,0.30542036276965884
0.2897636284262447,0.3058591104632047
0.2897263866359905,0.3033122153737437
0.2897607189113811,0.3071783056211232
0.2896508039054224,0.3088293794411511
0.28963884256653866,0.30744589034037373
0.2895388522390592,0.3050706757971989
0.28948211669921875,0.3073123375974109
