model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
BaseNormalAutoEncoder @ p97.5 [indirect_injection],28863,28023,840,1.5434093475341797,0.9345294171624328,0.5096583321277884,1.0061135292053223,1.9111356735229492,0.22789980471134186,0.39348936080932617,0.9717978034161383,0.5096153846153846,0.8202380952380952,0.6286496350364964,0.02365913713735146,689,663,27360,151
BaseNormalAutoEncoder @ p97.5 [jailbreak],28855,28023,832,1.5434093475341797,0.8908837589452621,0.6554843258559911,1.0061135292053223,2.104001522064209,0.22789980471134186,2.5463428497314453,0.969537341881823,0.48162627052384677,0.7403846153846154,0.5836096636665088,0.02365913713735146,616,663,27360,216
BaseNormalAutoEncoder @ p99.0,43282,28023,15259,2.087421178817749,0.7559246930090804,0.7708242832295144,1.0061135292053223,1.6695152521133423,0.22789980471134186,0.8312047719955444,0.7927082851993901,0.9603162981402841,0.42977914673307555,0.59380659181456,0.009670627698676087,6558,271,27752,8701
BaseNormalAutoEncoder @ p99.0 [direct_injection],41610,28023,13587,2.087421178817749,0.7366184509285829,0.739881211798815,1.0061135292053223,1.6279717683792114,0.22789980471134186,0.5936464667320251,0.8022110069694784,0.9540600101712154,0.4142194744976816,0.5776454890690752,0.009670627698676087,5628,271,27752,7959
BaseNormalAutoEncoder @ p99.0 [indirect_injection],28863,28023,840,2.087421178817749,0.9345294171624328,0.5096583321277884,1.0061135292053223,1.9111356735229492,0.22789980471134186,0.39348936080932617,0.9767175969233968,0.6183098591549295,0.5226190476190476,0.5664516129032258,0.009670627698676087,439,271,27752,401
BaseNormalAutoEncoder @ p99.0 [jailbreak],28855,28023,832,2.087421178817749,0.8908837589452621,0.6554843258559911,1.0061135292053223,2.104001522064209,0.22789980471134186,2.5463428497314453,0.9787905042453647,0.6443569553805775,0.5901442307692307,0.616060225846926,0.009670627698676087,491,271,27752,341
BaseNormalAutoEncoder @ youden_j,43282,28023,15259,1.5358638763427734,0.7559246930090804,0.7708242832295144,1.0061135292053223,1.6695152521133423,0.22789980471134186,0.8312047719955444,0.8539115567672474,0.9350535540408959,0.6293335080935841,0.7523208899682714,0.023801877029582842,9603,667,27356,5656
BaseNormalAutoEncoder @ youden_j [direct_injection],41610,28023,13587,1.5358638763427734,0.7366184509285829,0.739881211798815,1.0061135292053223,1.6279717683792114,0.22789980471134186,0.5936464667320251,0.8568132660418168,0.9255829521365614,0.6105836461323324,0.7357871396895788,0.023801877029582842,8296,667,27356,5291
BaseNormalAutoEncoder @ youden_j [indirect_injection],28863,28023,840,1.5358638763427734,0.9345294171624328,0.5096583321277884,1.0061135292053223,1.9111356735229492,0.22789980471134186,0.39348936080932617,0.9716592176835395,0.5081120943952803,0.8202380952380952,0.6275045537340619,0.023801877029582842,689,667,27356,151
BaseNormalAutoEncoder @ youden_j [jailbreak],28855,28023,832,1.5358638763427734,0.8908837589452621,0.6554843258559911,1.0061135292053223,2.104001522064209,0.22789980471134186,2.5463428497314453,0.9694680298041933,0.48093385214007783,0.7427884615384616,0.5838450637694851,0.023801877029582842,618,667,27356,214
