model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
NormalityAE @ p97.5 [indirect_injection],36251,35197,1054,1.1225100755691528,0.8917489841266985,0.4302715257991437,1.0064480304718018,1.854578971862793,0.22197388112545013,0.5052500367164612,0.7859369396706298,0.1002622794468288,0.7979127134724858,0.17814022452870154,0.21442168366622155,841,7547,27650,213
NormalityAE @ p97.5 [jailbreak],36215,35197,1018,1.1225100755691528,0.8887455552589123,0.6440426570688104,1.0064480304718018,2.143843412399292,0.22197388112545013,2.543165445327759,0.7868562750241612,0.10079828428452281,0.831041257367387,0.17978960790564233,0.21442168366622155,846,7547,27650,172
NormalityAE @ p99.0,54162,35197,18965,2.1448028087615967,0.7379964502613031,0.7517395089919432,1.0064480304718018,1.6854901313781738,0.22197388112545013,0.8611471652984619,0.8297145600236328,0.9615311730149706,0.5350909570261008,0.6875571665706833,0.011535074011989659,10148,406,34791,8817
NormalityAE @ p99.0 [direct_injection],52090,35197,16893,2.1448028087615967,0.719319024133221,0.7218988633579817,1.0064480304718018,1.647318959236145,0.22197388112545013,0.6410533785820007,0.8379727394893454,0.9561791689152725,0.5244183981530811,0.6773453627953208,0.011535074011989659,8859,406,34791,8034
NormalityAE @ p99.0 [indirect_injection],36251,35197,1054,2.1448028087615967,0.8917489841266985,0.4302715257991437,1.0064480304718018,1.854578971862793,0.22197388112545013,0.5052500367164612,0.9771868362252076,0.6092396535129933,0.6005692599620494,0.6048733874820831,0.011535074011989659,633,406,34791,421
NormalityAE @ p99.0 [jailbreak],36215,35197,1018,2.1448028087615967,0.8887455552589123,0.6440426570688104,1.0064480304718018,2.143843412399292,0.22197388112545013,2.543165445327759,0.9787933176860417,0.6177024482109228,0.6444007858546169,0.6307692307692307,0.011535074011989659,656,406,34791,362
NormalityAE @ youden_j,54162,35197,18965,1.5536143779754639,0.7379964502613031,0.7517395089919432,1.0064480304718018,1.6854901313781738,0.22197388112545013,0.8611471652984619,0.8466821756951368,0.9492625368731563,0.5938834695491695,0.7306519623743107,0.017103730431570874,11263,602,34595,7702
NormalityAE @ youden_j [direct_injection],52090,35197,16893,1.5536143779754639,0.719319024133221,0.7218988633579817,1.0064480304718018,1.647318959236145,0.22197388112545013,0.6410533785820007,0.8517373776156651,0.941970310391363,0.5784644527319008,0.7167638537426193,0.017103730431570874,9772,602,34595,7121
NormalityAE @ youden_j [indirect_injection],36251,35197,1054,1.5536143779754639,0.8917489841266985,0.4302715257991437,1.0064480304718018,1.854578971862793,0.22197388112545013,0.5052500367164612,0.9750351714435463,0.5550628233555063,0.7125237191650854,0.6240132945575405,0.017103730431570874,751,602,34595,303
NormalityAE @ youden_j [jailbreak],36215,35197,1018,1.5536143779754639,0.8887455552589123,0.6440426570688104,1.0064480304718018,2.143843412399292,0.22197388112545013,2.543165445327759,0.9757006765152562,0.5514157973174366,0.7269155206286837,0.6271186440677966,0.017103730431570874,740,602,34595,278
