train_log,train_benign_log,train_attack_log,validation_log,validation_benign_log,validation_attack_log
0.4117985095007945,0.3938834950075311,0.01791509733361713,0.44586625335909796,0.4170661006413453,0.028800278972508496
0.41260363691944185,0.395096956673315,0.017506437786554887,0.4484769852730681,0.4205098253615359,0.027966999838538203
0.4105535604185977,0.39427825151863743,0.01627554933903581,0.4410444399425606,0.41224558584515364,0.028798739115397137
0.4154432587704416,0.3979144015554654,0.017529045121144442,0.4480486569956967,0.422039960856697,0.026008660066212323
0.40975334684727555,0.39233637664277676,0.017417026778398934,0.4612536058358267,0.42955998269660534,0.03169360059372922
0.41166215023751984,0.39383164098707296,0.01783064866470078,0.4463673404486185,0.4147961122769836,0.031571156026060136
0.40832280304472324,0.3915545576709812,0.0167684191364353,0.4439229401572658,0.4189056685066674,0.025017291941541307
0.4082998502052436,0.3912761494264764,0.01702371896323511,0.44481621059120124,0.4126789643127586,0.03213746722426539
0.4073186324814619,0.3913981227551476,0.01592039657851397,0.4464224235949505,0.42537276175568856,0.021049770057624113
0.40762300006413865,0.3920477527683064,0.015575038174451408,0.4418373919547872,0.41310642684323284,0.028730796020363523
0.40715110908120367,0.3905084577657409,0.016642705868866483,0.4441764236341977,0.41399327632101435,0.03018351931380324
0.40574487589173397,0.389759128376589,0.015985592947167865,0.4438875888256317,0.41875979015449544,0.025127573216215095
0.4076674186577231,0.39118753853490795,0.016479623519768147,0.44103246377714983,0.4152466613913822,0.025785856494948654
0.40704452385336665,0.39064733860856393,0.016397464073310466,0.44211875969636527,0.41726911828873003,0.024849447516403018
0.4043350866285421,0.3878018653998941,0.016533114142337088,0.44150003924719267,0.4118436989209331,0.029656063016706608
0.4070277779789294,0.38867562504137976,0.01835234084371793,0.4566519807134678,0.43348095039385715,0.02317093111944537
0.40431009712865795,0.3876184689796577,0.016691858485593635,0.4428532016474586,0.4168956567209663,0.025957822236045314
0.40473278498245496,0.3884829828294657,0.016250049663802325,0.4415976882826352,0.4142739226068447,0.027323637166485438
0.40356235180870964,0.38754983675681937,0.01601267164036379,0.4439797908701795,0.41021443540604685,0.033765339682288203
0.40416468604136324,0.38736802440578655,0.016796744475930422,0.4420170344359486,0.4106015324874409,0.03141537569375185
0.4024546671721895,0.3864903207552635,0.01596450098490311,0.4364305139997045,0.4070105947219452,0.029419840368536912
0.4026178263001523,0.38647680767511916,0.01614123784889609,0.43967742559194,0.41893748470513814,0.02073963877720754
0.40228833990581964,0.386617175603317,0.015671239060870673,0.44532270859882905,0.42416385443216237,0.021158718893713985
0.4016087418895657,0.3855210643703655,0.016087824005191608,0.4349371006020981,0.4053965178505467,0.029540429442205047
0.4002733715509964,0.38561361927097126,0.014659522953680006,0.4385760151748116,0.4120995271290448,0.026476594009579777
0.40007384348723846,0.3857135449425649,0.01435986615843692,0.4403624838971077,0.41530192490165113,0.025060500377177063
0.3996010473219015,0.3838091381525589,0.015791863708172815,0.4335190793301197,0.40631038584607715,0.02720875661142047
0.3990938865532309,0.3842670634641486,0.014826411918058233,0.4375073949214133,0.4077637945224771,0.029743672544510935
0.40229790897692663,0.3867269936254469,0.015571073960449737,0.4412136213153812,0.41183857658512485,0.029374950039189475
0.4000932402529959,0.3847965628413831,0.01529663902218059,0.4347353455022717,0.40810136366679595,0.02663389841715495
0.3975971674515029,0.38339023266808464,0.014207294431783386,0.43388727427092566,0.4091832587059508,0.024704157601575197
0.3988754466428595,0.38405418395996094,0.01482146069154901,0.43713826208813533,0.41407508940279625,0.023063186212634364
0.40021456702280855,0.3852391000521385,0.01497522249060162,0.43511576911800015,0.4122854462752106,0.022830692588860262
0.39706579305357853,0.38208738424010197,0.014978603791382354,0.44005759669815675,0.41445594589197327,0.02560168462442168
0.396496691946256,0.3818253339347193,0.01467115091065229,0.43268053131464246,0.4065390873180777,0.02614164690599374
0.3964936854475636,0.38188345957610564,0.014610044026778917,0.44292646547863107,0.4123657803727098,0.03056083841526762
0.3978246591858945,0.38247884330102955,0.01534589367397761,0.438207098778258,0.4032107233719341,0.034996670752270566
0.3978717286707991,0.38224469201039457,0.015627162941431596,0.4401179103986591,0.41390028067514406,0.02621771088728668
